Gaunt[{l1, m1}, {l2, m2}, {l3, m3}] == 
Gaunt[{1, 1}, {4, -2}, {5, 1}] == -0.120286
Gaunt[{1, 1}, {4, -1}, {3, 0}] == -0.194664
Gaunt[{1, 1}, {4, -1}, {5, 0}] == 0.155288
Gaunt[{1, 1}, {4, 0}, {3, -1}] == 0.150786
Gaunt[{1, 1}, {4, 0}, {5, -1}] == -0.190188
Gaunt[{1, 1}, {4, 1}, {3, -2}] == -0.106622
Gaunt[{1, 1}, {4, 1}, {5, -2}] == 0.225034
Gaunt[{1, 1}, {4, 2}, {3, -3}] == 0.0615581
Gaunt[{1, 1}, {4, 2}, {5, -3}] == -0.259847
Gaunt[{1, 1}, {4, 3}, {5, -4}] == 0.294638
Gaunt[{1, 1}, {4, 4}, {5, -5}] == -0.329416
Gaunt[{1, 1}, {5, -5}, {4, 4}] == -0.329416
Gaunt[{1, 1}, {5, -5}, {6, 4}] == 0.040859
Gaunt[{1, 1}, {5, -4}, {4, 3}] == 0.294638
Gaunt[{1, 1}, {5, -4}, {6, 3}] == -0.0707699
Gaunt[{1, 1}, {5, -3}, {4, 2}] == -0.259847
Gaunt[{1, 1}, {5, -3}, {6, 2}] == 0.100084
Gaunt[{1, 1}, {5, -2}, {4, 1}] == 0.225034
Gaunt[{1, 1}, {5, -2}, {6, 1}] == -0.129207
Gaunt[{1, 1}, {5, -1}, {4, 0}] == -0.190188
Gaunt[{1, 1}, {5, -1}, {6, 0}] == 0.158246
Gaunt[{1, 1}, {5, 0}, {4, -1}] == 0.155288
Gaunt[{1, 1}, {5, 0}, {6, -1}] == -0.187239
Gaunt[{1, 1}, {5, 1}, {4, -2}] == -0.120286
Gaunt[{1, 1}, {5, 1}, {6, -2}] == 0.216205
Gaunt[{1, 1}, {5, 2}, {4, -3}] == 0.08505
48
Gaunt[{1, 1}, {5, 2}, {6, -3}] == -0.245154
Gaunt[{1, 1}, {5, 3}, {4, -4}] == -0.0491064
Gaunt[{1, 1}, {5, 3}, {6, -4}] == 0.27409
Gaunt[{1, 1}, {5, 4}, {6, -5}] == -0.303018
Gaunt[{1, 1}, {5, 5}, {6, -6}] == 0.33194
Gaunt[{1, 1}, {6, -6}, {5, 5}] == 0.33194
